Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0806165,2023-06-16,2023-06-16,,The Ramen Girl,https://www.imdb.com/title/tt0806165/,movie,6.3,102,2008,"Comedy, Drama, Romance",10635,2008-05-31,Robert Allan Ackerman,,
2,tt0088161,2023-06-16,2023-06-16,,Splash,https://www.imdb.com/title/tt0088161/,movie,6.3,111,1984,"Comedy, Fantasy, Romance",80300,1984-03-09,Ron Howard,,
3,tt0110099,2023-06-16,2023-06-16,,I.Q.,https://www.imdb.com/title/tt0110099/,movie,6.2,100,1994,"Comedy, Romance",26077,1994-12-25,Fred Schepisi,,
4,tt0101635,2023-06-20,2023-06-20,,Curly Sue,https://www.imdb.com/title/tt0101635/,movie,5.8,101,1991,"Comedy, Drama, Family, Romance",22531,1991-10-25,John Hughes,,
5,tt0035423,2023-06-20,2023-06-20,,Kate & Leopold,https://www.imdb.com/title/tt0035423/,movie,6.4,118,2001,"Comedy, Fantasy, Romance",86974,2001-12-11,James Mangold,,
6,tt0095687,2023-06-24,2023-06-24,,My Stepmother Is an Alien,https://www.imdb.com/title/tt0095687/,movie,5.4,105,1988,"Comedy, Sci-Fi",27129,1988-12-03,Richard Benjamin,,
7,tt0115580,2023-06-25,2023-06-25,,The Associate,https://www.imdb.com/title/tt0115580/,movie,6.1,114,1996,Comedy,8795,1996-10-25,Donald Petrie,,
